OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Mean SEGLENGTH,Maximum SEGLENGTH,Count of Lines,Area in Square Miles,Mean Existing Commercial Sqft,Minimum Existing Commercial Sqft,Maximum Existing Commercial Sqft,Count of Polygons,Count of Points
1,WA,53,33,53033,101,1,530330001011,1266,21100,0.06,1249,20816.7,522.540362,667,20,0.05564967,1785.384471,0,13905,108,0
2,WA,53,33,53033,101,2,530330001012,1403,35075,0.04,1398,34950,507.8474348,663.1338802,12,0.04004576,375.1709386,0,7400,49,1
3,WA,53,33,53033,101,3,530330001013,1123,18716.7,0.06,1112,18533.3,571.0465019,820,20,0.06447776,3096.839519,-670,20590,93,0
4,WA,53,33,53033,102,1,530330001021,1391,3974.3,0.35,1385,3957.1,1398.681208,3998.78551,63,0.34512041,0,0,0,599,1
5,WA,53,33,53033,102,2,530330001022,1245,7323.5,0.17,1237,7276.5,705.5073905,1363.534931,37,0.16866127,10396.7099,0,114656.944,381,1
6,WA,53,33,53033,102,3,530330001023,1754,29233.3,0.06,1699,28316.7,701.5669492,1281.61255,14,0.06349113,9120.529671,-2686,39350,69,2
7,WA,53,33,53033,201,1,530330002011,1296,3600,0.36,1289,3580.6,991.3457463,3314,39,0.35615889,9483.972603,0,12867,160,1
8,WA,53,33,53033,201,2,530330002012,1796,9452.6,0.19,1698,8936.8,621.3795525,1362.698325,42,0.18856775,4191.819691,0,68296,350,0
9,WA,53,33,53033,201,3,530330002013,1441,9606.7,0.15,1429,9526.7,578.7997496,1322,33,0.15288979,1919.73182,0,29338,295,0
10,WA,53,33,53033,202,1,530330002021,1292,6800,0.19,1289,6784.2,401.3804741,670,72,0.19114485,17.01532759,0,2040,497,0
11,WA,53,33,53033,202,2,530330002022,1498,7884.2,0.19,1442,7589.5,479.8573952,683.8112937,56,0.19035174,9178.050121,0,94480,366,3
12,WA,53,33,53033,202,3,530330002023,1410,7421.1,0.19,1368,7200,504.0993244,1034,68,0.18996251,0,0,0,483,0
13,WA,53,33,53033,300,1,530330003001,1385,4616.7,0.3,1370,4566.7,774.4714443,2305.503778,102,0.30438396,27691.1775,0,163897,529,0
14,WA,53,33,53033,300,2,530330003002,1520,9500,0.16,1450,9062.5,462.9033499,933.624869,79,0.16319325,1273.139661,-260,41704,497,0
15,WA,53,33,53033,402,1,530330004021,1411,11758.3,0.12,1401,11675,478.135417,663,42,0.12407623,8983.293186,0,102761,280,1
16,WA,53,33,53033,402,2,530330004022,1516,4458.8,0.34,1461,4297.1,703.7900601,2042,80,0.33561486,22864.43167,0,120334,455,1
17,WA,53,33,53033,402,3,530330004023,1282,10683.3,0.12,1274,10616.7,496.6259576,663,45,0.12460185,2380.487164,0,40308,291,0
18,WA,53,33,53033,402,4,530330004024,1075,9772.7,0.11,1038,9436.4,494.0357073,685.5054829,39,0.11027594,5998.507792,0,46000,236,1
19,WA,53,33,53033,403,1,530330004031,1566,9787.5,0.16,1542,9637.5,562.3421876,881.1670037,40,0.15712635,766.2487048,0,21409,356,1
20,WA,53,33,53033,403,2,530330004032,1539,11838.5,0.13,1532,11784.6,613.1701158,1332.43341,22,0.12560527,20924.70501,0,127347,98,1
21,WA,53,33,53033,404,1,530330004041,1581,22585.7,0.07,1565,22357.1,508.0546151,674.2020215,17,0.07201328,5772.653891,-2500,51390,113,0
22,WA,53,33,53033,404,2,530330004042,1184,9866.7,0.12,1135,9458.3,565.3885228,1063,35,0.12207794,4079.696731,0,48700,203,2
23,WA,53,33,53033,404,3,530330004043,1393,27860,0.05,1367,27340,581.9885674,660.1026353,6,0.04954385,53973.67361,0,127737,16,1
24,WA,53,33,53033,500,1,530330005001,1748,2241,0.78,1737,2226.9,808.4097529,2594,88,0.78349064,236.2417163,0,1979.79672,770,1
25,WA,53,33,53033,500,2,530330005002,1676,5078.8,0.33,1663,5039.4,542.4798572,1389,93,0.33438925,0.00424046,0,5.09831659,688,0
26,WA,53,33,53033,601,1,530330006011,1483,14830,0.1,1459,14590,417.7747104,662,36,0.09590013,412.1866943,0,14162,228,0
27,WA,53,33,53033,601,2,530330006012,1249,4163.3,0.3,1243,4143.3,930.2966038,2946.052734,70,0.29718529,2036.256634,0,36975,498,1
28,WA,53,33,53033,601,3,530330006013,1423,8893.8,0.16,1372,8575,574.1229425,871.6204848,43,0.15956236,6828.445243,0,86558,374,0
29,WA,53,33,53033,602,1,530330006021,1263,3946.9,0.32,1255,3921.9,576.1424127,1331,70,0.32070321,58280.84085,0,207386,458,0
30,WA,53,33,53033,602,2,530330006022,1456,4412.1,0.33,1441,4366.7,677.6056303,1749,46,0.32878994,15674.75191,0,104799.9506,424,1
31,WA,53,33,53033,602,3,530330006023,1378,4921.4,0.28,1310,4678.6,839.2782574,1981.956157,25,0.28132715,100277.4784,0,484836,144,0
32,WA,53,33,53033,700,1,530330007001,1255,8366.7,0.15,1244,8293.3,468.3643101,710,55,0.14905167,2596.692796,0,47308,353,1
33,WA,53,33,53033,700,2,530330007002,1367,6509.5,0.21,1353,6442.9,458.9500454,761.7212087,79,0.21118953,731.7825511,0,21320,469,0
34,WA,53,33,53033,700,3,530330007003,1248,20800,0.06,1239,20650,474.4071493,821.4540305,32,0.06383383,8845.174229,0,50759,80,3
35,WA,53,33,53033,700,4,530330007004,1405,17562.5,0.08,1368,17100,454.6692895,701,31,0.07567437,379.3111242,0,8434,189,0
36,WA,53,33,53033,800,1,530330008001,1237,6510.5,0.19,1229,6468.4,596.5432586,1305.585783,51,0.18833369,251.5210131,0,18701,489,0
37,WA,53,33,53033,800,2,530330008002,1511,6044,0.25,1464,5856,554.6881656,1307.717596,62,0.25258793,3085.545765,0,40352,563,0
38,WA,53,33,53033,900,1,530330009001,1152,5760,0.2,1147,5735,793.2276914,1888.600187,65,0.20177397,3.82374369,0,2501,482,0
39,WA,53,33,53033,900,2,530330009002,933,4910.5,0.19,929,4889.5,1303.198309,3396,69,0.18621683,212.5309584,0,11488,405,1
40,WA,53,33,53033,1000,1,530330010001,977,6978.6,0.14,975,6964.3,523.8099792,797,34,0.14333388,41089.3822,0,162543,271,2
41,WA,53,33,53033,1000,2,530330010002,1039,4517.4,0.23,1037,4508.7,645.9908775,1160,43,0.22508005,42956.71673,0,247393,384,1
42,WA,53,33,53033,1100,1,530330011001,1410,7050,0.2,1400,7000,562.369797,1794.683951,72,0.19807011,1432.260285,0,80360,449,0
43,WA,53,33,53033,1100,2,530330011002,1323,6300,0.21,1311,6242.9,513.2317719,894,67,0.21146502,541.9142593,0,16150,469,0
44,WA,53,33,53033,1201,1,530330012011,1473,14730,0.1,1460,14600,611.2783157,1325.501487,24,0.09502891,34542.90413,-1852,303255,110,1
45,WA,53,33,53033,1201,2,530330012012,1401,15566.7,0.09,1394,15488.9,650.3552759,1431.575865,38,0.0941119,3908.122432,0,71210,98,0
46,WA,53,33,53033,1201,3,530330012013,971,4855,0.2,927,4635,726.2849641,1425.702681,44,0.20014348,653999.3264,-280,1028438,33,0
47,WA,53,33,53033,1202,1,530330012021,1215,7593.8,0.16,1131,7068.8,413.1160848,996,72,0.15893537,2058.409147,0,41431,391,1
48,WA,53,33,53033,1202,2,530330012022,1149,12766.7,0.09,1142,12688.9,568.377285,996,31,0.09496317,999.6817491,0,33344,240,1
49,WA,53,33,53033,1202,3,530330012023,1611,26850,0.06,1607,26783.3,536.3307763,840,16,0.06325441,12382.60875,0,54555,96,2
50,WA,53,33,53033,1300,1,530330013001,1853,9752.6,0.19,1824,9600,537.6394915,894,63,0.19402838,1406.641704,0,44800,445,2
51,WA,53,33,53033,1300,2,530330013002,1540,17111.1,0.09,1549,17211.1,459.6308906,667,42,0.09452056,887.0068196,0,12012,296,0
52,WA,53,33,53033,1300,3,530330013003,1721,10123.5,0.17,1712,10070.6,501.3228628,664,62,0.16737506,16832.43042,-888,213065,328,1
53,WA,53,33,53033,1400,1,530330014001,1157,9641.7,0.12,1151,9591.7,467.0634267,663,48,0.12467964,204.2550252,-1471,17636,318,0
54,WA,53,33,53033,1400,2,530330014002,1408,7040,0.2,1363,6815,491.2009046,662,58,0.19869067,2346.462671,-1844,31765,384,1
55,WA,53,33,53033,1400,3,530330014003,1292,8613.3,0.15,1256,8373.3,488.3655463,1331,59,0.14625104,6084.084898,0,77316,292,0
56,WA,53,33,53033,1400,4,530330014004,1542,4283.3,0.36,1528,4244.4,641.3508087,1446.682062,67,0.36136016,995.4009639,0,37992,583,1
57,WA,53,33,53033,1500,1,530330015001,1300,6500,0.2,1290,6450,398.6416815,841,85,0.2016716,67.0184483,0,9943,524,1
58,WA,53,33,53033,1500,2,530330015002,1416,5664,0.25,1389,5556,500.566701,1403,68,0.24878925,0.01214364,0,11.70275472,539,0
59,WA,53,33,53033,1600,1,530330016001,1465,3959.5,0.37,1461,3948.6,697.3732563,1438.013492,71,0.37348467,1134.574191,0,47378,630,0
60,WA,53,33,53033,1600,2,530330016002,1449,5573.1,0.26,1445,5557.7,465.359078,1115,93,0.25540875,20978.7232,0,162870,576,0
61,WA,53,33,53033,1600,3,530330016003,1743,12450,0.14,1598,11414.3,560.938239,1323,50,0.14444297,2525.435765,-180,37581,429,1
62,WA,53,33,53033,1701,1,530330017011,1934,14876.9,0.13,1748,13446.2,460.4114057,663.7436737,56,0.12500593,24167.3956,-96,167000,288,1
63,WA,53,33,53033,1701,2,530330017012,1347,11225,0.12,1340,11166.7,509.1902344,661,43,0.11770609,1618.73197,-1483,48117,310,1
64,WA,53,33,53033,1701,3,530330017013,1163,11630,0.1,1164,11640,421.2594512,663,58,0.10198693,405.1230728,0,12700,334,0
65,WA,53,33,53033,1702,1,530330017021,1367,15188.9,0.09,1337,14855.6,528.6627459,761,31,0.08581186,1664.146938,0,40485,221,0
66,WA,53,33,53033,1702,2,530330017022,1140,8769.2,0.13,1132,8707.7,570.2637879,1323.57401,45,0.12544127,361.2426687,-304,4896,402,0
67,WA,53,33,53033,1702,3,530330017023,1295,11772.7,0.11,1294,11763.6,579.4042901,1228.95437,35,0.11364675,4039.381509,-4700,60422,319,0
68,WA,53,33,53033,1702,4,530330017024,1576,9270.6,0.17,1564,9200,505.6569197,665,54,0.16940908,336.0552691,0,15212,472,1
69,WA,53,33,53033,1800,1,530330018001,1728,10800,0.16,1709,10681.3,474.0383496,684,59,0.16406338,57362.54518,0,265072,441,0
70,WA,53,33,53033,1800,2,530330018002,1802,20022.2,0.09,1690,18777.8,509.9056733,667,40,0.09424446,1126.866279,-2123,17054,300,0
71,WA,53,33,53033,1800,3,530330018003,1757,15972.7,0.11,1710,15545.5,574.0298163,666.1008371,38,0.10698303,7845.547385,-978,134748,341,0
72,WA,53,33,53033,1900,1,530330019001,1619,10118.8,0.16,1610,10062.5,569.0170847,678,50,0.16001114,4172.586687,0,56614,525,0
73,WA,53,33,53033,1900,2,530330019002,1429,7521.1,0.19,1416,7452.6,792.560656,1880.444773,61,0.18800991,39.34312767,0,7260,529,0
74,WA,53,33,53033,1900,3,530330019003,1164,38800,0.03,719,23966.7,458.1307619,661.4834281,9,0.03135505,24462.00685,0,87255,6,0
75,WA,53,33,53033,1900,4,530330019004,1220,4692.3,0.26,1214,4669.2,918.8239896,2021.728588,38,0.26437379,393439.9759,0,779211.3846,234,0
76,WA,53,33,53033,2000,1,530330020001,1394,10723.1,0.13,1376,10584.6,487.2932414,663,56,0.12801713,254.7479989,0,11225,393,0
77,WA,53,33,53033,2000,2,530330020002,1228,8186.7,0.15,1184,7893.3,510.4576706,678,54,0.149787,1699.119351,0,24755,431,0
78,WA,53,33,53033,2000,3,530330020003,1194,7462.5,0.16,1163,7268.8,553.9465539,676,49,0.15924771,214.7485306,0,9650,394,1
79,WA,53,33,53033,2100,1,530330021001,1428,7515.8,0.19,1425,7500,646.1438608,1344,62,0.19441481,93.3468598,-400,8746,528,0
80,WA,53,33,53033,2100,2,530330021002,1376,7242.1,0.19,1365,7184.2,618.9801075,1402,61,0.1864167,3768.154336,0,33231,427,0
81,WA,53,33,53033,2100,3,530330021003,1711,11406.7,0.15,1633,10886.7,526.3276794,1438,59,0.14637598,2947.972258,0,41047,367,3
82,WA,53,33,53033,2200,1,530330022001,1575,6562.5,0.24,1572,6550,557.6878386,1263,72,0.2378807,4.28333865,0,1920,601,0
83,WA,53,33,53033,2200,2,530330022002,1506,6845.5,0.22,1503,6831.8,577.5591417,1300,75,0.21923105,1152.665573,0,40828,571,2
84,WA,53,33,53033,2200,3,530330022003,1603,6412,0.25,1597,6388,757.3299773,2273.187686,81,0.24555542,193.2417188,0,20805,559,1
85,WA,53,33,53033,2200,4,530330022004,1333,3507.9,0.38,1276,3357.9,836.6423102,2361.424611,50,0.37997924,18144.29375,0,40160.19992,440,1
86,WA,53,33,53033,2400,1,530330024001,1536,7314.3,0.21,1509,7185.7,531.0910075,1086,77,0.21499627,6260.172197,0,57647,597,0
87,WA,53,33,53033,2400,2,530330024002,1729,10806.3,0.16,1708,10675,547.9277383,1322.639278,57,0.15664517,102.103822,0,7584,496,0
88,WA,53,33,53033,2500,1,530330025001,1610,6708.3,0.24,1589,6620.8,472.3862909,1009,90,0.24015551,2350.251302,0,71374,634,0
89,WA,53,33,53033,2500,2,530330025002,1617,11550,0.14,1566,11185.7,493.3570255,675.5034833,52,0.13990267,2206.074711,0,25180,474,2
90,WA,53,33,53033,2600,1,530330026001,1150,12777.8,0.09,1141,12677.8,454.5422788,669,49,0.09473581,543.2975039,0,14526,394,1
91,WA,53,33,53033,2600,2,530330026002,1585,9906.3,0.16,1465,9156.3,434.1280929,685,68,0.15703944,1353.374296,0,38000,529,0
