OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Sum Development Site Land Area (sqft),Minimum Development Site Land Area (sqft),Maximum Development Site Land Area (sqft),Sum Existing Housing Units,Minimum Existing Housing Units,Maximum Existing Housing Units,Sum Existing Commercial Sqft,Minimum Existing Commercial Sqft,Maximum Existing Commercial Sqft,Sum Potential Housing Units (all residential development),Minimum Potential Housing Units (all residential development),Maximum Potential Housing Units (all residential development),Sum Potential Commercial Floor Area (all commercial development),Minimum Potential Commercial Floor Area (all commercial development),Maximum Potential Commercial Floor Area (all commercial development),Summarized Area in Square Miles,Count of Polygons,Area in Square Miles,Max Dwellings Per Sq Mi,Mean Max Comm FAR ,Current Comm Percent,Mean Max Dwelling Ratio,Current Dwellings Per Sq Mi,Count of Points
1,WA,53,33,53033,101,1,530330001011,1266,21100,0.06,1249,20816.7,1154159,1761,81200,794,0,328,80623,0,13905,1835,1,380,1482226,0,379554,0.04140279,108,0.05564967,30583.33333,1.284247664,0.069854327,2.31,13233.33333,0
2,WA,53,33,53033,101,2,530330001012,1403,35075,0.04,1398,34950,917058,2829,138292,708,0,113,18984,0,7400,2177,1,297,396459,0,92041,0.03289738,49,0.04004576,54425,0.432316168,0.020700981,3.07,17700,1
3,WA,53,33,53033,101,3,530330001013,1123,18716.7,0.06,1112,18533.3,1339865.611,2865,115214,568.2357948,0,140,112075,-670,20590,2766.235795,0,539,1956251,0,538625,0.04806435,93,0.06447776,46103.92991,1.460035233,0.083646449,4.87,9470.59658,0
4,WA,53,33,53033,102,1,530330001021,1391,3974.3,0.35,1385,3957.1,7272818.457,55.66688405,287456,555.0540992,0,4,0,0,0,516,0,4,0,0,0,0.28142164,599,0.34512041,1474.285714,0,0,0.93,1585.868855,1
5,WA,53,33,53033,102,2,530330001022,1245,7323.5,0.17,1237,7276.5,3817193.983,2402,234304.9832,520,0,69,330715.944,0,114656.944,2553.447383,0,687.4473834,1835841.497,0,687641.4973,0.13847984,381,0.16866127,15020.27873,0.480940058,0.086638496,4.91,3058.823529,1
6,WA,53,33,53033,102,3,530330001023,1754,29233.3,0.06,1699,28316.7,1376670.017,3236,158396,1046,0,238,227977.056,-2686,39350,5715.552617,4,741,5568114.503,0,740501,0.0493849,69,0.06349113,95259.21028,4.044625389,0.165600364,5.46,17433.33333,2
7,WA,53,33,53033,201,1,530330002011,1296,3600,0.36,1289,3580.6,9073305.193,4088.816499,6965631.376,652.2967642,0,153,53525.25285,0,12867,3191.796704,0,796,147095,0,71626,0.32548407,160,0.35615889,8866.101954,0.016211843,0.005899201,4.89,1811.935456,1
8,WA,53,33,53033,201,2,530330002012,1796,9452.6,0.19,1698,8936.8,4208832,949,273994,867,0,99,105099,0,68296,3276,0,946,1748648,0,945455,0.15113121,350,0.18856775,17242.10526,0.415471086,0.024971061,3.78,4563.157895,0
9,WA,53,33,53033,201,3,530330002013,1441,9606.7,0.15,1429,9526.7,3450397.364,1150,340791,633.1595043,0,85,54318.74715,0,29338,1133.659565,0,210,336183,0,93678,0.12386009,295,0.15288979,7557.730433,0.097433126,0.015742751,1.79,0.558509383,0
10,WA,53,33,53033,202,1,530330002021,1292,6800,0.19,1289,6784.2,4031987,442,44978,550,0,36,2040,0,2040,513,0,19,0,0,0,0.14463584,497,0.19114485,2700,0,0.000505954,0.93,1.072124756,0
11,WA,53,33,53033,202,2,530330002022,1498,7884.2,0.19,1442,7589.5,4084841,755,286343,651,0,80,318165,0,94480,3056,0,419,2503179,0,419025,0.14653373,366,0.19035174,16084.21053,0.612797169,0.077889201,4.69,0.21302356,3
12,WA,53,33,53033,202,3,530330002023,1410,7421.1,0.19,1368,7200,3862457.389,1435,26988,526.7642052,0,10,0,0,0,548.7642052,0,21,0,0,0,0.13855679,483,0.18996251,2888.232659,0,0,1.04,0.959909922,0
13,WA,53,33,53033,300,1,530330003001,1385,4616.7,0.3,1370,4566.7,5431818.982,121.9823687,824642,533.0093187,0,17,230306,0,163897,834.0093187,0,108,134553,0,58863,0.19496392,529,0.30438396,2780.031062,0.02477126,0.042399425,1.56,0.639092762,0
14,WA,53,33,53033,300,2,530330003002,1520,9500,0.16,1450,9062.5,3116089,48,39545,688,0,20,187820,-260,41704,2559,0,166,1722750,0,165556,0.11178265,497,0.16319325,15993.75,0.552856481,0.060274273,3.72,0.268855021,0
15,WA,53,33,53033,402,1,530330004021,1411,11758.3,0.12,1401,11675,2582746,216,214732,569,0,59,141385,0,102761,899,0,190,53155,0,53155,0.09265009,280,0.12407623,7491.666667,0.020580808,0.054742123,1.58,0.632925473,1
16,WA,53,33,53033,402,2,530330004022,1516,4458.8,0.34,1461,4297.1,7717211,3185,2958387,679,0,108,399349,0,120334,9654,1,3510,8479128,0,2913307,0.27683639,455,0.33561486,28394.11765,1.09872958,0.05174784,14.22,0.070333541,1
17,WA,53,33,53033,402,3,530330004023,1282,10683.3,0.12,1274,10616.7,2455121,5209,144494,622,1,40,41949,0,40308,690,1,36,0,0,0,0.08807163,291,0.12460185,5750,0,0.017086327,1.11,0.901449275,0
18,WA,53,33,53033,402,4,530330004024,1075,9772.7,0.11,1038,9436.4,2185858,1316,273200,536,0,245,74627,0,46000,664,1,245,142480,0,67747,0.07841242,236,0.11027594,6036.363636,0.065182642,0.034140827,1.24,0.807228916,1
