OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Mean Year Built,Minimum Year Built,Maximum Year Built,Standard Deviation Year Built,Summarized Area in Square Miles,Count of Polygons,Area in Square Miles,Count of Points,Tract Gini,Tract Gini Margin Error
1,WA,53,33,53033,101,1,530330001011,1266,21100,0.06,1249,20816.7,1974.49723,1910,2021,30.4122471,0.04140279,108,0.05564967,0,0.4933,0.1529
2,WA,53,33,53033,101,2,530330001012,1403,35075,0.04,1398,34950,1763.15212,0,2012,640.468874,0.03289738,49,0.04004576,1,0.4933,0.1529
3,WA,53,33,53033,101,3,530330001013,1123,18716.7,0.06,1112,18533.3,1876.51346,0,2021,432.43561,0.04806435,93,0.06447776,0,0.4933,0.1529
4,WA,53,33,53033,102,1,530330001021,1391,3974.3,0.35,1385,3957.1,1700.12661,0,2019,651.179426,0.28142164,599,0.34512041,1,0.5372,0.0649
5,WA,53,33,53033,102,2,530330001022,1245,7323.5,0.17,1237,7276.5,1897.80209,0,2021,349.853697,0.13847984,381,0.16866127,1,0.5372,0.0649
6,WA,53,33,53033,102,3,530330001023,1754,29233.3,0.06,1699,28316.7,1688.88166,0,2022,722.155023,0.0493849,69,0.06349113,2,0.5372,0.0649
7,WA,53,33,53033,201,1,530330002011,1296,3600,0.36,1289,3580.6,1953.25457,0,2018,190.681841,0.32548407,160,0.35615889,1,0.5556,0.1044
8,WA,53,33,53033,201,2,530330002012,1796,9452.6,0.19,1698,8936.8,1947.71461,0,2022,207.322908,0.15113121,350,0.18856775,0,0.5556,0.1044
9,WA,53,33,53033,201,3,530330002013,1441,9606.7,0.15,1429,9526.7,1714.08257,0,2019,653.780269,0.12386009,295,0.15288979,0,0.5556,0.1044
10,WA,53,33,53033,202,1,530330002021,1292,6800,0.19,1289,6784.2,1941.50371,0,2022,182.548624,0.14463584,497,0.19114485,0,0.3571,0.0415
11,WA,53,33,53033,202,2,530330002022,1498,7884.2,0.19,1442,7589.5,1923.76594,0,2021,292.254126,0.14653373,366,0.19035174,3,0.3571,0.0415
12,WA,53,33,53033,202,3,530330002023,1410,7421.1,0.19,1368,7200,1934.74262,0,2022,198.257081,0.13855679,483,0.18996251,0,0.3571,0.0415
13,WA,53,33,53033,300,1,530330003001,1385,4616.7,0.3,1370,4566.7,1867.13454,0,2022,441.970271,0.19496392,529,0.30438396,0,0.3998,0.055
14,WA,53,33,53033,300,2,530330003002,1520,9500,0.16,1450,9062.5,1939.1164,0,2021,218.954961,0.11178265,497,0.16319325,0,0.3998,0.055
15,WA,53,33,53033,402,1,530330004021,1411,11758.3,0.12,1401,11675,1964.01588,0,2021,31.5789258,0.09265009,280,0.12407623,1,0.4646,0.0506
16,WA,53,33,53033,402,2,530330004022,1516,4458.8,0.34,1461,4297.1,1811.34555,0,2022,538.074836,0.27683639,455,0.33561486,1,0.4646,0.0506
17,WA,53,33,53033,402,3,530330004023,1282,10683.3,0.12,1274,10616.7,1956.12791,1910,2019,27.3203312,0.08807163,291,0.12460185,0,0.4646,0.0506
18,WA,53,33,53033,402,4,530330004024,1075,9772.7,0.11,1038,9436.4,1882.34988,0,2018,375.558326,0.07841242,236,0.11027594,1,0.4646,0.0506
19,WA,53,33,53033,403,1,530330004031,1566,9787.5,0.16,1542,9637.5,1904.10715,0,2022,335.791286,0.11946138,356,0.15712635,1,0.5468,0.046
20,WA,53,33,53033,403,2,530330004032,1539,11838.5,0.13,1532,11784.6,1745.35781,0,2017,647.743337,0.10589824,98,0.12560527,1,0.5468,0.046
21,WA,53,33,53033,404,1,530330004041,1581,22585.7,0.07,1565,22357.1,1847.25776,0,2020,499.903707,0.05631343,113,0.07201328,0,0.426,0.049
22,WA,53,33,53033,404,2,530330004042,1184,9866.7,0.12,1135,9458.3,1955.47535,0,2020,159.446186,0.09996749,203,0.12207794,2,0.426,0.049
23,WA,53,33,53033,404,3,530330004043,1393,27860,0.05,1367,27340,1945.66498,0,2017,332.313909,0.04044363,16,0.04954385,1,0.426,0.049
24,WA,53,33,53033,500,1,530330005001,1748,2241,0.78,1737,2226.9,1390.1431,0,2021,828.047688,0.69330193,770,0.78349064,1,0.4334,0.0414
25,WA,53,33,53033,500,2,530330005002,1676,5078.8,0.33,1663,5039.4,1819.81372,0,2022,503.266971,0.2556218,688,0.33438925,0,0.4334,0.0414
26,WA,53,33,53033,601,1,530330006011,1483,14830,0.1,1459,14590,1925.65292,0,2020,301.749867,0.07488353,228,0.09590013,0,0.3922,0.0498
27,WA,53,33,53033,601,2,530330006012,1249,4163.3,0.3,1243,4143.3,1566.0607,0,2019,788.652083,0.20016766,498,0.29718529,1,0.3922,0.0498
28,WA,53,33,53033,601,3,530330006013,1423,8893.8,0.16,1372,8575,1939.86699,0,2021,238.37731,0.1251094,374,0.15956236,0,0.3922,0.0498
29,WA,53,33,53033,602,1,530330006021,1263,3946.9,0.32,1255,3921.9,1959.92593,0,2022,163.930031,0.26426792,458,0.32070321,0,0.4083,0.04
30,WA,53,33,53033,602,2,530330006022,1456,4412.1,0.33,1441,4366.7,1858.42281,0,2021,410.324838,0.26738623,424,0.32878994,1,0.4083,0.04
31,WA,53,33,53033,602,3,530330006023,1378,4921.4,0.28,1310,4678.6,1010.76185,0,2021,986.831493,0.24954984,144,0.28132715,0,0.4083,0.04
32,WA,53,33,53033,700,1,530330007001,1255,8366.7,0.15,1244,8293.3,1939.88646,0,2022,226.57311,0.11158406,353,0.14905167,1,0.4938,0.0611
33,WA,53,33,53033,700,2,530330007002,1367,6509.5,0.21,1353,6442.9,1905.75973,0,2020,300.009617,0.15426471,469,0.21118953,0,0.4938,0.0611
