OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Sum Planning Existing Land Use Code,Summarized Area in Square Miles,Count of Polygons,JOIN ID,Area in Square Miles,Count of Points,Percent Neutral Ground
1,WA,53,33,53033,101,1,530330001011,1266,21100,0.06,1249,20816.7,383,0.04148736,136,1,0.05564967,0,23.54600074
2,WA,53,33,53033,101,2,530330001012,1403,35075,0.04,1398,34950,244,0.03284496,55,2,0.04004576,1,9.43893191
3,WA,53,33,53033,101,3,530330001013,1123,18716.7,0.06,1112,18533.3,451,0.04804217,111,3,0.06447776,0,9.93620785
4,WA,53,33,53033,102,1,530330001021,1391,3974.3,0.35,1385,3957.1,1359.034889,0.28899728,614,4,0.34512041,1,3.00911802
5,WA,53,33,53033,102,2,530330001022,1245,7323.5,0.17,1237,7276.5,1061.681424,0.13848038,427,5,0.16866127,1,10.97173162
6,WA,53,33,53033,102,3,530330001023,1754,29233.3,0.06,1699,28316.7,745.318576,0.04938704,128,6,0.06349113,2,34.34993063
7,WA,53,33,53033,201,1,530330002011,1296,3600,0.36,1289,3580.6,731.2282109,0.32548337,166,7,0.35615889,1,71.73478213
8,WA,53,33,53033,201,2,530330002012,1796,9452.6,0.19,1698,8936.8,724,0.15110816,389,8,0.18856775,0,7.21421325
9,WA,53,33,53033,201,3,530330002013,1441,9606.7,0.15,1429,9526.7,595.7717891,0.12385503,311,9,0.15288979,0,14.55395753
10,WA,53,33,53033,202,1,530330002021,1292,6800,0.19,1289,6784.2,666,0.14519199,499,10,0.19114485,0,0.63113364
11,WA,53,33,53033,202,2,530330002022,1498,7884.2,0.19,1442,7589.5,964,0.14696702,406,11,0.19035174,3,5.1632905
12,WA,53,33,53033,202,3,530330002023,1410,7421.1,0.19,1368,7200,674,0.13852703,504,12,0.18996251,0,0
13,WA,53,33,53033,300,1,530330003001,1385,4616.7,0.3,1370,4566.7,876.0093187,0.19447201,531,13,0.30438396,0,2.24716809
14,WA,53,33,53033,300,2,530330003002,1520,9500,0.16,1450,9062.5,1363,0.11180473,597,14,0.16319325,0,5.84979521
15,WA,53,33,53033,402,1,530330004021,1411,11758.3,0.12,1401,11675,567,0.09264861,303,15,0.12407623,1,2.80732162
16,WA,53,33,53033,402,2,530330004022,1516,4458.8,0.34,1461,4297.1,1026,0.27676611,477,16,0.33561486,1,39.92794524
17,WA,53,33,53033,402,3,530330004023,1282,10683.3,0.12,1274,10616.7,593,0.08895086,338,17,0.12460185,0,4.15993779
18,WA,53,33,53033,402,4,530330004024,1075,9772.7,0.11,1038,9436.4,358,0.07842188,247,18,0.11027594,1,2.5179523
19,WA,53,33,53033,403,1,530330004031,1566,9787.5,0.16,1542,9637.5,842,0.11946018,428,19,0.15712635,1,3.7865637
20,WA,53,33,53033,403,2,530330004032,1539,11838.5,0.13,1532,11784.6,421,0.11065364,141,20,0.12560527,1,9.31042713
21,WA,53,33,53033,404,1,530330004041,1581,22585.7,0.07,1565,22357.1,422,0.05631671,121,21,0.07201328,0,21.61219767
22,WA,53,33,53033,404,2,530330004042,1184,9866.7,0.12,1135,9458.3,433,0.09997343,232,22,0.12207794,2,9.24569473
23,WA,53,33,53033,404,3,530330004043,1393,27860,0.05,1367,27340,126,0.04033724,17,23,0.04954385,1,60.30192002
24,WA,53,33,53033,500,1,530330005001,1748,2241,0.78,1737,2226.9,1687.402435,0.69339152,782,24,0.78349064,1,14.88679234
25,WA,53,33,53033,500,2,530330005002,1676,5078.8,0.33,1663,5039.4,1205.495769,0.25565907,694,25,0.33438925,0,4.01424294
26,WA,53,33,53033,601,1,530330006011,1483,14830,0.1,1459,14590,996,0.07489398,361,26,0.09590013,0,4.58364625
27,WA,53,33,53033,601,2,530330006012,1249,4163.3,0.3,1243,4143.3,963,0.20023111,503,27,0.29718529,1,13.00352333
28,WA,53,33,53033,601,3,530330006013,1423,8893.8,0.16,1372,8575,627,0.12511183,384,28,0.15956236,0,2.1967118
29,WA,53,33,53033,602,1,530330006021,1263,3946.9,0.32,1255,3921.9,911.9906813,0.26425532,472,29,0.32070321,0,18.55091893
30,WA,53,33,53033,602,2,530330006022,1456,4412.1,0.33,1441,4366.7,1315.772737,0.28226884,489,30,0.32878994,1,18.29862676
31,WA,53,33,53033,602,3,530330006023,1378,4921.4,0.28,1310,4678.6,889.2272628,0.24956835,227,31,0.28132715,0,56.30630555
32,WA,53,33,53033,700,1,530330007001,1255,8366.7,0.15,1244,8293.3,732,0.11158526,384,32,0.14905167,1,5.20100025
33,WA,53,33,53033,700,2,530330007002,1367,6509.5,0.21,1353,6442.9,1005.70303,0.15454916,505,33,0.21118953,0,5.10461189
34,WA,53,33,53033,700,3,530330007003,1248,20800,0.06,1239,20650,669,0.04171151,134,34,0.06383383,3,23.79091989
35,WA,53,33,53033,700,4,530330007004,1405,17562.5,0.08,1368,17100,1078.29697,0.05385225,316,35,0.07567437,0,2.99207805
36,WA,53,33,53033,800,1,530330008001,1237,6510.5,0.19,1229,6468.4,828,0.13956789,502,36,0.18833369,0,2.97975662
37,WA,53,33,53033,800,2,530330008002,1511,6044,0.25,1464,5856,828,0.20378488,570,37,0.25258793,0,7.26996929
38,WA,53,33,53033,900,1,530330009001,1152,5760,0.2,1147,5735,888.7354003,0.15421571,486,38,0.20177397,0,3.23815366
39,WA,53,33,53033,900,2,530330009002,933,4910.5,0.19,929,4889.5,615.3242462,0.1550221,418,39,0.18621683,1,16.83002607
40,WA,53,33,53033,1000,1,530330010001,977,6978.6,0.14,975,6964.3,630,0.11276224,285,40,0.14333388,2,3.12259828
