OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History,Sum Planning Existing Land Use Code,Summarized Area in Square Miles,Count of Polygons,JOIN ID,Area in Square Miles,Count of Type,Mixed Use Type
2996,6023,C1-145 (M),CF296889,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-145,C1-145,C1-125,CF296889,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-145 (M),ORD125791,CF296889,04/19/2019; C1-125,CF296889",0.48926028,0.00093149,2,2996,0.00093148,2,Some Mixed Use
2997,6024,C1-145 (M),CF296889,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-145,C1-145,C1-125,CF296889,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-145 (M),ORD125791,CF296889,04/19/2019; C1-125,CF296889",0.12962682,0.00024407,2,2997,0.00024407,2,Some Mixed Use
2998,6025,C1-200 (M),CF296889,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-200,C1-200,C1-160,CF296889,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-200 (M),ORD125791,CF296889,04/19/2019; C1-160,CF296889",0.54485116,0.00103439,2,2998,0.00103439,2,Some Mixed Use
1603,3473,C1-30, ,124750,6/15/15 00:00, , ,UC, , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-30,C1-30,C1-30, ,,, , ,US, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-30,ORD124750,06/15/2015; C1-30",198.8769491,0.01890899,40,1603,0.02291527,9,Some Mixed Use
1734,3983,C1-30, , ,, , , , , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-30,C1-30,,,,5/1/94 00:00,,,,,,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-30; C1-30,05/01/1994",0.03403473,0.00001851,1,1734,0.00040165,1,Some Mixed Use
2988,4034,C1-30, ,,, , ,CN, , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-30,C1-30,,,,5/1/94 00:00,,,,,,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-30; C1-30,05/01/1994",0.34943253,0.02482519,3,2988,0.02482521,2,Some Mixed Use
1601,3470,C1-40, ,124750,6/15/15 00:00, , ,UC, , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-40, ,,, , ,US, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40,ORD124750,06/15/2015; C1-40",94.81997068,0.21842303,16,1601,0.2255467,10,Some Mixed Use
1602,3972,C1-40, , ,, , , , , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,,,,5/1/94 00:00,,,,,,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40; C1-40,05/01/1994",0.09515163,0.00003135,2,1602,0.00013637,2,Some Mixed Use
1604,3477,C1-40, ,124750,6/15/15 00:00, , ,UC, , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-40, ,,, , ,US, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40,ORD124750,06/15/2015; C1-40",43.49645694,0.00213757,6,1604,0.00250707,5,Some Mixed Use
1625,3483,C1-40, ,124750,6/15/15 00:00, , ,UC, , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-40, ,117919,12/29/95 00:00, , ,US, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40,ORD124750,06/15/2015; C1-40,ORD117919,12/29/1995; C1-40",69.29392841,0.00249054,11,1625,0.00387033,6,Some Mixed Use
